RefDes,Type,Pin/Node,Connects_To,Status,Notes
J40,Radxa 40-pin,pin8,UART2_TX,VERIFIED,UART2_TX_M0 physical pin 8
J40,Radxa 40-pin,pin10,UART2_RX,VERIFIED,UART2_RX_M0 physical pin 10
J40,Radxa 40-pin,pin17,+3V3,VERIFIED,Logic supply from host; do not drive from HAT
U5,74LVC1G08,VCC,+3V3,UPSTREAM_VERIFIED,Receive-path combiner retained from upstream design
U5,74LVC1G08,GND,GND,UPSTREAM_VERIFIED,
U5,74LVC1G08,A,TTL_RX_OUT,UPSTREAM_RECOVERED,TTL receive source from U6
U5,74LVC1G08,B,RS485_RX_IDLE_HIGH,V1_FROZEN,TTL-only V1: force unused optional RS485 receive input high so U5 becomes transparent to TTL_RX_OUT
U5,74LVC1G08,Y,UART2_RX,UPSTREAM_RECOVERED,Output to Radxa UART2_RX
R_RS485_IDLE,Pull-up,pin1,+3V3,V1_FROZEN,10k 1% pull-up for U5 optional-RS485 input when U8 is DNP
R_RS485_IDLE,Pull-up,pin2,RS485_RX_IDLE_HIGH,V1_FROZEN,Ensures U5 input B never floats; AND gate Y=A when B=1
U6,SN74LVC1G125DBV,VCC,+3V3,UPSTREAM_VERIFIED,TTL receive tri-state buffer
U6,SN74LVC1G125DBV,GND,GND,UPSTREAM_VERIFIED,
U6,SN74LVC1G125DBV,A,DXL_LOCAL,UPSTREAM_RECOVERED,Input pin2 connects to local DXL node before R33
U6,SN74LVC1G125DBV,OE,Dynamixel_dir,UPSTREAM_VERIFIED,Pin1 active-low OE; shared exact net with U7 OE
U6,SN74LVC1G125DBV,Y,TTL_RX_OUT,UPSTREAM_RECOVERED,Output feeds U5 receive combiner
U7,SN74LVC1G126DBVR,VCC,+3V3,UPSTREAM_VERIFIED,TTL transmit tri-state buffer
U7,SN74LVC1G126DBVR,GND,GND,UPSTREAM_VERIFIED,
U7,SN74LVC1G126DBVR,A,UART2_TX,UPSTREAM_RECOVERED,Input pin2 traces directly to IO_14/UART TX net
U7,SN74LVC1G126DBVR,OE,Dynamixel_dir,UPSTREAM_VERIFIED,Pin1 active-high OE; shared exact net with U6 OE
U7,SN74LVC1G126DBVR,Y,DXL_LOCAL,UPSTREAM_RECOVERED,Output pin4 connects to local DXL node before R33
DIR,Complementary OE truth table,LOW,U7_DISABLED/U6_ENABLED,UPSTREAM_VERIFIED,Dynamixel_dir low selects receive mode
DIR,Complementary OE truth table,HIGH,U7_ENABLED/U6_DISABLED,UPSTREAM_VERIFIED,Dynamixel_dir high selects transmit mode
R33,Series resistor,pin1,DXL_LOCAL,UPSTREAM_VERIFIED,150R at 201.93/180.34; local transceiver side
R33,Series resistor,pin2,DXL_DATA,UPSTREAM_VERIFIED,External bus side toward connectors/protection
R26,Direction pull-up,top,+3V3,UPSTREAM_VERIFIED,10k; top terminal joins +3V3 rail
R26,Direction pull-up,bottom,UART2_TX_DIR_SENSE,UPSTREAM_VERIFIED,10k; bottom terminal joins UART2_TX sensing node
R27,Direction base resistor,pin1,UART2_TX_DIR_SENSE,UPSTREAM_VERIFIED,10k between TX sensing node and Q1 base
R27,Direction base resistor,pin2,Q1_BASE,UPSTREAM_VERIFIED,Connects directly to Q1 base pin1
Q1,MMBT3906 PNP,pin1_BASE,Q1_BASE,UPSTREAM_VERIFIED,Base driven through R27
Q1,MMBT3906 PNP,pin2_EMITTER,+3V3,UPSTREAM_VERIFIED,Emitter tied to +3V3 rail
Q1,MMBT3906 PNP,pin3_COLLECTOR,Dynamixel_dir,UPSTREAM_VERIFIED,Collector drives automatic direction node
R28,Direction pull-down,top,Dynamixel_dir,UPSTREAM_VERIFIED,20k from direction node
R28,Direction pull-down,bottom,GND,UPSTREAM_VERIFIED,20k to ground; establishes receive default
DIRGEN,Auto-direction behavior,UART2_TX_IDLE_HIGH,Dynamixel_dir_LOW,UPSTREAM_VERIFIED,TX idle high turns Q1 off and R28 pulls direction low => receive mode
DIRGEN,Auto-direction behavior,UART2_TX_LOW,Dynamixel_dir_HIGH,UPSTREAM_VERIFIED,TX low biases Q1 on and raises direction => U7 drives low bit while U6 is disabled
D_ESD,Low-cap ESD,IO,DXL_DATA,PROVISIONAL,Select device after voltage/capacitance review
D_ESD,Low-cap ESD,GND,GND,PROVISIONAL,
TP_DXL,Test point,,DXL_DATA,REQUIRED,Oscilloscope access
J_DXL_A,TTL servo branch A,pin1,GND,PROVISIONAL,Final connector pin order independently verify against XL330 cable
J_DXL_A,TTL servo branch A,pin2,+5V_SERVO_A,PROVISIONAL,
J_DXL_A,TTL servo branch A,pin3,DXL_DATA,PROVISIONAL,
J_DXL_B,TTL servo branch B,pin1,GND,PROVISIONAL,Same logical DATA bus
J_DXL_B,TTL servo branch B,pin2,+5V_SERVO_B,PROVISIONAL,
J_DXL_B,TTL servo branch B,pin3,DXL_DATA,PROVISIONAL,
J_DXL_C,TTL servo branch C,pin1,GND,PROVISIONAL,Same logical DATA bus
J_DXL_C,TTL servo branch C,pin2,+5V_SERVO_C,PROVISIONAL,
J_DXL_C,TTL servo branch C,pin3,DXL_DATA,PROVISIONAL,
J_IMU_DXL,imu_to_dxl branch,pin1,GND,REQUIRED_CURRENT_SW,Current MicroDuck IMU node shares bus
J_IMU_DXL,imu_to_dxl branch,pin2,+5V_SERVO_A,PROVISIONAL,Branch choice can change at placement
J_IMU_DXL,imu_to_dxl branch,pin3,DXL_DATA,REQUIRED_CURRENT_SW,
U8,SIT3088E,all,RS485_OPTIONAL,DNP,Optional upstream-compatible RS-485 path; not required for XL330 V1
