RefDes,Type,Pin/Node,Connects_To,Notes
J1,XT60 input,+,F1_IN,Regulated 5V input
J1,XT60 input,-,GND,High-current ground
F1,Fuse,F1_IN,J1+,20A class provisional
F1,Fuse,F1_OUT,U1_ANODE,Main fault protection
U1,LM74700-Q1,ANODE,F1_OUT,Main ideal-diode controller
U1,LM74700-Q1,CATHODE,+5V_SYS,Sense protected output
U1,LM74700-Q1,GATE,Q1_GATE,Drive external N-MOSFET
U1,LM74700-Q1,VCAP,C_VCAP,Charge-pump capacitor per datasheet
U1,LM74700-Q1,EN,F1_OUT,Always enabled in V1 unless jumper added
U1,LM74700-Q1,GND,GND,Controller ground
Q1,BSC009NE2LS5I,DRAIN,F1_OUT,Orientation to follow LM74700 reference topology
Q1,BSC009NE2LS5I,SOURCE,+5V_SYS,Low-RDS main path
Q1,BSC009NE2LS5I,GATE,U1_GATE,Controller-driven gate
D1,TVS,KA,+5V_SYS/GND,SMBJ5.0A candidate; exact orientation unidirectional
C1,Bulk capacitor,+,+5V_SYS,470uF 16V near distribution
C1,Bulk capacitor,-,GND,
C2,Bulk capacitor,+,+5V_SYS,100uF 16V
C2,Bulk capacitor,-,GND,
J2,Servo branch A,VCC,+5V_SERVO_A,Five-servo nominal group
J2,Servo branch A,GND,GND,
J3,Servo branch B,VCC,+5V_SERVO_B,Five-servo nominal group
J3,Servo branch B,GND,GND,
J4,Servo branch C,VCC,+5V_SERVO_C,Five-servo nominal group
J4,Servo branch C,GND,GND,
RBA,Branch link,1,+5V_SYS,0R/high-current link or copper bridge strategy
RBA,Branch link,2,+5V_SERVO_A,
RBB,Branch link,1,+5V_SYS,0R/high-current link or copper bridge strategy
RBB,Branch link,2,+5V_SERVO_B,
RBC,Branch link,1,+5V_SYS,0R/high-current link or copper bridge strategy
RBC,Branch link,2,+5V_SERVO_C,
CA1,Bulk capacitor,+,+5V_SERVO_A,470uF 16V local branch bulk
CA1,Bulk capacitor,-,GND,
CB1,Bulk capacitor,+,+5V_SERVO_B,470uF 16V local branch bulk
CB1,Bulk capacitor,-,GND,
CC1,Bulk capacitor,+,+5V_SERVO_C,470uF 16V local branch bulk
CC1,Bulk capacitor,-,GND,
U2,TPS25947,IN,+5V_SYS,Radxa branch only
U2,TPS25947,OUT,+5V_RADXA,Protected host rail
U2,TPS25947,GND,GND,
U2,TPS25947,EN/UVLO,+5V_SYS,Program network TBD
U2,TPS25947,OVLO/OVC,OV_NETWORK,Program for 5V rail protection
U2,TPS25947,ILM,R_ILIM,Current-limit programming resistor TBD
U2,TPS25947,dVdt,C_DVDT,Soft-start capacitor TBD
U2,TPS25947,PG/FLT,TP_HOST_PG,Expose for bring-up
C5,Host bulk,+,+5V_RADXA,470uF low-ESR
C5,Host bulk,-,GND,
J40,Radxa header,pin2,+5V_RADXA,5V injection
J40,Radxa header,pin4,+5V_RADXA,5V injection
J40,Radxa header,GND pins,GND,Multiple ground pins
TP1,Test point,,F1_IN,RAW 5V input
TP2,Test point,,+5V_SYS,Protected system rail
TP3,Test point,,+5V_SERVO_A,
TP4,Test point,,+5V_SERVO_B,
TP5,Test point,,+5V_SERVO_C,
TP6,Test point,,+5V_RADXA,
TP7,Test point,,GND,Scope ground
TP8,Test point,,TP_HOST_PG,Host eFuse status
