pin,reference_host_identity,hat_net,lead_null_ohm,initial_raw_ohm,initial_corrected_ohm,initial_pass,pressure_raw_ohm,pressure_corrected_ohm,pressure_pass,post_remate_raw_ohm,post_remate_corrected_ohm,post_remate_pass,notes
1,3V3,+3V3,,,,,,,,,,,
2,5V,+5V,,,,,,,,,,,
3,GPIO1_A0,/Schematic/Audio/I2C3_SDA_M0,,,,,,,,,,,
4,5V,+5V,,,,,,,,,,,
5,GPIO1_A1,/Schematic/Audio/I2C3_SCL_M0,,,,,,,,,,,
6,GND,GND,,,,,,,,,,,
7,GPIO3_C4,/Schematic/Audio/GPIO3_C4_P7,,,,,,,,,,,
8,GPIO0_D1,/Schematic/Audio/UART2_TX_M0,,,,,,,,,,,
9,GND,GND,,,,,,,,,,,
10,GPIO0_D0,/Schematic/Audio/UART2_RX_M0,,,,,,,,,,,
11,GPIO3_A1,AMP_ENABLE,,,,,,,,,,,
12,GPIO3_A3,/Schematic/Audio/I2S3_SCLK_M0,,,,,,,,,,,
13,GPIO3_A2,unconnected-(J4-Pin_13-Pad13),,,,,,,,,,,
14,GND,GND,,,,,,,,,,,
15,GPIO3_B0,/Schematic/Audio/GPIO3_B0_P15,,,,,,,,,,,
16,GPIO3_B1,unconnected-(J4-Pin_16-Pad16),,,,,,,,,,,
17,3V3,+3V3,,,,,,,,,,,
18,GPIO3_B2,unconnected-(J4-Pin_18-Pad18),,,,,,,,,,,
19,GPIO4_C3,/Schematic/Audio/GPIO4_C3_P19,,,,,,,,,,,
20,GND,GND,,,,,,,,,,,
21,GPIO4_C5,/Schematic/Audio/GPIO4_C5_P21,,,,,,,,,,,
22,GPIO3_C1,unconnected-(J4-Pin_22-Pad22),,,,,,,,,,,
23,GPIO4_C2,/Schematic/Audio/GPIO4_C2_P23,,,,,,,,,,,
24,GPIO4_C6,/Schematic/Audio/GPIO4_C6_P24,,,,,,,,,,,
25,GND,GND,,,,,,,,,,,
26,GPIO4_D1,unconnected-(J4-Pin_26-Pad26),,,,,,,,,,,
27,GPIO4_B2,/Schematic/Audio/I2C4_SDA_M0_P27,,,,,,,,,,,
28,GPIO4_B3,/Schematic/Audio/I2C4_SCL_M0_P28,,,,,,,,,,,
29,GPIO3_B3,/Schematic/Audio/GPIO3_B3_P29,,,,,,,,,,,
30,GND,GND,,,,,,,,,,,
31,GPIO3_B4,/Schematic/Audio/GPIO3_B4_P31,,,,,,,,,,,
32,GPIO3_C2,unconnected-(J4-Pin_32-Pad32),,,,,,,,,,,
33,GPIO3_C3,unconnected-(J4-Pin_33-Pad33),,,,,,,,,,,
34,GND,GND,,,,,,,,,,,
35,GPIO3_A4,/Schematic/Audio/I2S3_LRCK_M0,,,,,,,,,,,
36,GPIO3_A7,unconnected-(J4-Pin_36-Pad36),,,,,,,,,,,
37,GPIO1_A4,unconnected-(J4-Pin_37-Pad37),,,,,,,,,,,
38,GPIO3_A6,/Schematic/Audio/I2S3_SDI_M0,,,,,,,,,,,
39,GND,GND,,,,,,,,,,,
40,GPIO3_A5,/Schematic/Audio/I2S3_SDO_M0,,,,,,,,,,,
