pair_id,pin_a,pin_a_reference_host_identity,pin_a_hat_net,pin_b,pin_b_reference_host_identity,pin_b_hat_net,relation,lead_null_ohm,premate_j4_toe_raw_ohm,premate_j4_toe_corrected_ohm,premate_pass,initial_raw_ohm,initial_corrected_ohm,initial_pass,pressure_raw_ohm,pressure_corrected_ohm,pressure_pass,post_remate_raw_ohm,post_remate_corrected_ohm,post_remate_pass,notes
cross-row-01,1,3V3,+3V3,2,5V,+5V,distinct_net,,,,,,,,,,,,,,
cross-row-02,3,GPIO1_A0,/Schematic/Audio/I2C3_SDA_M0,4,5V,+5V,distinct_net,,,,,,,,,,,,,,
cross-row-03,5,GPIO1_A1,/Schematic/Audio/I2C3_SCL_M0,6,GND,GND,distinct_net,,,,,,,,,,,,,,
cross-row-04,7,GPIO3_C4,/Schematic/Audio/GPIO3_C4_P7,8,GPIO0_D1,/Schematic/Audio/UART2_TX_M0,distinct_net,,,,,,,,,,,,,,
cross-row-05,9,GND,GND,10,GPIO0_D0,/Schematic/Audio/UART2_RX_M0,distinct_net,,,,,,,,,,,,,,
cross-row-06,11,GPIO3_A1,AMP_ENABLE,12,GPIO3_A3,/Schematic/Audio/I2S3_SCLK_M0,distinct_net,,,,,,,,,,,,,,
cross-row-07,13,GPIO3_A2,unconnected-(J4-Pin_13-Pad13),14,GND,GND,distinct_net,,,,,,,,,,,,,,
cross-row-08,15,GPIO3_B0,/Schematic/Audio/GPIO3_B0_P15,16,GPIO3_B1,unconnected-(J4-Pin_16-Pad16),distinct_net,,,,,,,,,,,,,,
cross-row-09,17,3V3,+3V3,18,GPIO3_B2,unconnected-(J4-Pin_18-Pad18),distinct_net,,,,,,,,,,,,,,
cross-row-10,19,GPIO4_C3,/Schematic/Audio/GPIO4_C3_P19,20,GND,GND,distinct_net,,,,,,,,,,,,,,
cross-row-11,21,GPIO4_C5,/Schematic/Audio/GPIO4_C5_P21,22,GPIO3_C1,unconnected-(J4-Pin_22-Pad22),distinct_net,,,,,,,,,,,,,,
cross-row-12,23,GPIO4_C2,/Schematic/Audio/GPIO4_C2_P23,24,GPIO4_C6,/Schematic/Audio/GPIO4_C6_P24,distinct_net,,,,,,,,,,,,,,
cross-row-13,25,GND,GND,26,GPIO4_D1,unconnected-(J4-Pin_26-Pad26),distinct_net,,,,,,,,,,,,,,
cross-row-14,27,GPIO4_B2,/Schematic/Audio/I2C4_SDA_M0_P27,28,GPIO4_B3,/Schematic/Audio/I2C4_SCL_M0_P28,distinct_net,,,,,,,,,,,,,,
cross-row-15,29,GPIO3_B3,/Schematic/Audio/GPIO3_B3_P29,30,GND,GND,distinct_net,,,,,,,,,,,,,,
cross-row-16,31,GPIO3_B4,/Schematic/Audio/GPIO3_B4_P31,32,GPIO3_C2,unconnected-(J4-Pin_32-Pad32),distinct_net,,,,,,,,,,,,,,
cross-row-17,33,GPIO3_C3,unconnected-(J4-Pin_33-Pad33),34,GND,GND,distinct_net,,,,,,,,,,,,,,
cross-row-18,35,GPIO3_A4,/Schematic/Audio/I2S3_LRCK_M0,36,GPIO3_A7,unconnected-(J4-Pin_36-Pad36),distinct_net,,,,,,,,,,,,,,
cross-row-19,37,GPIO1_A4,unconnected-(J4-Pin_37-Pad37),38,GPIO3_A6,/Schematic/Audio/I2S3_SDI_M0,distinct_net,,,,,,,,,,,,,,
cross-row-20,39,GND,GND,40,GPIO3_A5,/Schematic/Audio/I2S3_SDO_M0,distinct_net,,,,,,,,,,,,,,
odd-column-01,1,3V3,+3V3,3,GPIO1_A0,/Schematic/Audio/I2C3_SDA_M0,distinct_net,,,,,,,,,,,,,,
odd-column-02,3,GPIO1_A0,/Schematic/Audio/I2C3_SDA_M0,5,GPIO1_A1,/Schematic/Audio/I2C3_SCL_M0,distinct_net,,,,,,,,,,,,,,
odd-column-03,5,GPIO1_A1,/Schematic/Audio/I2C3_SCL_M0,7,GPIO3_C4,/Schematic/Audio/GPIO3_C4_P7,distinct_net,,,,,,,,,,,,,,
odd-column-04,7,GPIO3_C4,/Schematic/Audio/GPIO3_C4_P7,9,GND,GND,distinct_net,,,,,,,,,,,,,,
odd-column-05,9,GND,GND,11,GPIO3_A1,AMP_ENABLE,distinct_net,,,,,,,,,,,,,,
odd-column-06,11,GPIO3_A1,AMP_ENABLE,13,GPIO3_A2,unconnected-(J4-Pin_13-Pad13),distinct_net,,,,,,,,,,,,,,
odd-column-07,13,GPIO3_A2,unconnected-(J4-Pin_13-Pad13),15,GPIO3_B0,/Schematic/Audio/GPIO3_B0_P15,distinct_net,,,,,,,,,,,,,,
odd-column-08,15,GPIO3_B0,/Schematic/Audio/GPIO3_B0_P15,17,3V3,+3V3,distinct_net,,,,,,,,,,,,,,
odd-column-09,17,3V3,+3V3,19,GPIO4_C3,/Schematic/Audio/GPIO4_C3_P19,distinct_net,,,,,,,,,,,,,,
odd-column-10,19,GPIO4_C3,/Schematic/Audio/GPIO4_C3_P19,21,GPIO4_C5,/Schematic/Audio/GPIO4_C5_P21,distinct_net,,,,,,,,,,,,,,
odd-column-11,21,GPIO4_C5,/Schematic/Audio/GPIO4_C5_P21,23,GPIO4_C2,/Schematic/Audio/GPIO4_C2_P23,distinct_net,,,,,,,,,,,,,,
odd-column-12,23,GPIO4_C2,/Schematic/Audio/GPIO4_C2_P23,25,GND,GND,distinct_net,,,,,,,,,,,,,,
odd-column-13,25,GND,GND,27,GPIO4_B2,/Schematic/Audio/I2C4_SDA_M0_P27,distinct_net,,,,,,,,,,,,,,
odd-column-14,27,GPIO4_B2,/Schematic/Audio/I2C4_SDA_M0_P27,29,GPIO3_B3,/Schematic/Audio/GPIO3_B3_P29,distinct_net,,,,,,,,,,,,,,
odd-column-15,29,GPIO3_B3,/Schematic/Audio/GPIO3_B3_P29,31,GPIO3_B4,/Schematic/Audio/GPIO3_B4_P31,distinct_net,,,,,,,,,,,,,,
odd-column-16,31,GPIO3_B4,/Schematic/Audio/GPIO3_B4_P31,33,GPIO3_C3,unconnected-(J4-Pin_33-Pad33),distinct_net,,,,,,,,,,,,,,
odd-column-17,33,GPIO3_C3,unconnected-(J4-Pin_33-Pad33),35,GPIO3_A4,/Schematic/Audio/I2S3_LRCK_M0,distinct_net,,,,,,,,,,,,,,
odd-column-18,35,GPIO3_A4,/Schematic/Audio/I2S3_LRCK_M0,37,GPIO1_A4,unconnected-(J4-Pin_37-Pad37),distinct_net,,,,,,,,,,,,,,
odd-column-19,37,GPIO1_A4,unconnected-(J4-Pin_37-Pad37),39,GND,GND,distinct_net,,,,,,,,,,,,,,
even-column-01,2,5V,+5V,4,5V,+5V,same_net,,,,N/A,,,N/A,,,N/A,,,N/A,
even-column-02,4,5V,+5V,6,GND,GND,distinct_net,,,,,,,,,,,,,,
even-column-03,6,GND,GND,8,GPIO0_D1,/Schematic/Audio/UART2_TX_M0,distinct_net,,,,,,,,,,,,,,
even-column-04,8,GPIO0_D1,/Schematic/Audio/UART2_TX_M0,10,GPIO0_D0,/Schematic/Audio/UART2_RX_M0,distinct_net,,,,,,,,,,,,,,
even-column-05,10,GPIO0_D0,/Schematic/Audio/UART2_RX_M0,12,GPIO3_A3,/Schematic/Audio/I2S3_SCLK_M0,distinct_net,,,,,,,,,,,,,,
even-column-06,12,GPIO3_A3,/Schematic/Audio/I2S3_SCLK_M0,14,GND,GND,distinct_net,,,,,,,,,,,,,,
even-column-07,14,GND,GND,16,GPIO3_B1,unconnected-(J4-Pin_16-Pad16),distinct_net,,,,,,,,,,,,,,
even-column-08,16,GPIO3_B1,unconnected-(J4-Pin_16-Pad16),18,GPIO3_B2,unconnected-(J4-Pin_18-Pad18),distinct_net,,,,,,,,,,,,,,
even-column-09,18,GPIO3_B2,unconnected-(J4-Pin_18-Pad18),20,GND,GND,distinct_net,,,,,,,,,,,,,,
even-column-10,20,GND,GND,22,GPIO3_C1,unconnected-(J4-Pin_22-Pad22),distinct_net,,,,,,,,,,,,,,
even-column-11,22,GPIO3_C1,unconnected-(J4-Pin_22-Pad22),24,GPIO4_C6,/Schematic/Audio/GPIO4_C6_P24,distinct_net,,,,,,,,,,,,,,
even-column-12,24,GPIO4_C6,/Schematic/Audio/GPIO4_C6_P24,26,GPIO4_D1,unconnected-(J4-Pin_26-Pad26),distinct_net,,,,,,,,,,,,,,
even-column-13,26,GPIO4_D1,unconnected-(J4-Pin_26-Pad26),28,GPIO4_B3,/Schematic/Audio/I2C4_SCL_M0_P28,distinct_net,,,,,,,,,,,,,,
even-column-14,28,GPIO4_B3,/Schematic/Audio/I2C4_SCL_M0_P28,30,GND,GND,distinct_net,,,,,,,,,,,,,,
even-column-15,30,GND,GND,32,GPIO3_C2,unconnected-(J4-Pin_32-Pad32),distinct_net,,,,,,,,,,,,,,
even-column-16,32,GPIO3_C2,unconnected-(J4-Pin_32-Pad32),34,GND,GND,distinct_net,,,,,,,,,,,,,,
even-column-17,34,GND,GND,36,GPIO3_A7,unconnected-(J4-Pin_36-Pad36),distinct_net,,,,,,,,,,,,,,
even-column-18,36,GPIO3_A7,unconnected-(J4-Pin_36-Pad36),38,GPIO3_A6,/Schematic/Audio/I2S3_SDI_M0,distinct_net,,,,,,,,,,,,,,
even-column-19,38,GPIO3_A6,/Schematic/Audio/I2S3_SDI_M0,40,GPIO3_A5,/Schematic/Audio/I2S3_SDO_M0,distinct_net,,,,,,,,,,,,,,
