RefDes,Qty,Function,Selected/Candidate Part,Footprint,Status,Notes
U5,1,Receive-path combiner,74LVC1G08,SOT-23-5,UPSTREAM_SELECTED,LCSC C7666; combines TTL RX and optional RS485 RX before host UART2_RX
U6,1,TTL receive tri-state buffer,SN74LVC1G125DBV,SOT-23-5,UPSTREAM_SELECTED,LCSC C3040625; active-low OE on shared Dynamixel_dir
U7,1,TTL transmit tri-state buffer,SN74LVC1G126DBVR,SOT-23-5,UPSTREAM_SELECTED,LCSC C7834; active-high OE on shared Dynamixel_dir
Q1,1,Automatic-direction PNP,MMBT3906,SOT-23,UPSTREAM_VERIFIED,LCSC C727128; emitter +3V3; base through R27; collector drives Dynamixel_dir
R26,1,UART TX direction-sense pull-up,10k,0402,UPSTREAM_VERIFIED,+3V3 to UART2_TX_DIR_SENSE
R27,1,Q1 base resistor,10k,0402,UPSTREAM_VERIFIED,UART2_TX_DIR_SENSE to Q1 base
R28,1,Dynamixel_dir pull-down,20k,0402,UPSTREAM_VERIFIED,Dynamixel_dir to GND; receive-mode default when TX idle high
R33,1,DXL bus series resistor,150R,0402,UPSTREAM_VERIFIED,LCSC C138054; inline between DXL_LOCAL and external DXL_DATA
U8,1,Optional RS-485 transceiver,SIT3088E,MSOP-8-1EP_3x3mm_P0.65mm,DNP_V1,LCSC C2922535 upstream; keep optional only
D_ESD,1,DXL_DATA ESD protection,TBD low-capacitance SMD,TBD,SELECTING,Must preserve 1Mbps signal integrity and be compatible with 3.3V logic bus
C_U5,1,U5 bypass,100nF X7R,0402,REQUIRED,Place at VCC pin
C_U6,1,U6 bypass,100nF X7R,0402,REQUIRED,Place at VCC pin
C_U7,1,U7 bypass,100nF X7R,0402,REQUIRED,Place at VCC pin
J_DXL_A,1,TTL branch A,JST EH 3-pin 2.50mm candidate,JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical,CANDIDATE,Verify XL330 cable pin order/latch/orientation before fab
J_DXL_B,1,TTL branch B,JST EH 3-pin 2.50mm candidate,JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical,CANDIDATE,
J_DXL_C,1,TTL branch C,JST EH 3-pin 2.50mm candidate,JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical,CANDIDATE,
J_IMU_DXL,1,imu_to_dxl branch,JST EH 3-pin 2.50mm candidate,JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical,CANDIDATE,Current MicroDuck IMU node shares same DXL_DATA bus
TP_DXL,1,DXL data test point,Probe pad,TestPoint,REQUIRED,Scope bus turnaround/ringing
